,Note Name,Note Image,Category,
0,Bergamot,https://fimgs.net/mdimg/sastojci/m.75.jpg?1441385204,CITRUS SMELLS,
1,Bitter Orange,https://fimgs.net/mdimg/sastojci/m.79.jpg?1440725941,CITRUS SMELLS,
2,Blood Orange,https://fimgs.net/mdimg/sastojci/m.286.jpg?1440725523,CITRUS SMELLS,
3,Calamansi,https://fimgs.net/mdimg/sastojci/m.1028.jpg?1575996335,CITRUS SMELLS,
4,Chinotto,https://fimgs.net/mdimg/sastojci/m.866.jpg?1598651656,CITRUS SMELLS,
5,Citron,https://fimgs.net/mdimg/sastojci/m.373.jpg?1440724256,CITRUS SMELLS,
6,Citruses,https://fimgs.net/mdimg/sastojci/m.313.jpg?1440724966,CITRUS SMELLS,
7,Clementine,https://fimgs.net/mdimg/sastojci/m.84.jpg?1440730629,CITRUS SMELLS,
8,Finger Lime,https://fimgs.net/mdimg/sastojci/m.881.jpg?1598640078,CITRUS SMELLS,
9,Grapefruit,https://fimgs.net/mdimg/sastojci/m.76.jpg?1440740037,CITRUS SMELLS,
10,Hassaku,https://fimgs.net/mdimg/sastojci/m.445.jpg?1500531083,CITRUS SMELLS,
11,Hatkora lemon,https://fimgs.net/mdimg/sastojci/m.639.jpg?1500471627,CITRUS SMELLS,
12,Kaffir Lime,https://fimgs.net/mdimg/sastojci/m.958.jpg?1551214529,CITRUS SMELLS,
13,Kumquat,https://fimgs.net/mdimg/sastojci/m.81.jpg?1440730952,CITRUS SMELLS,
14,Lemon,https://fimgs.net/mdimg/sastojci/m.77.jpg?1440731353,CITRUS SMELLS,
15,Lemon Balm,https://fimgs.net/mdimg/sastojci/m.375.jpg?1440740197,CITRUS SMELLS,
16,Lemon tree,https://fimgs.net/mdimg/sastojci/m.381.jpg?1440739753,CITRUS SMELLS,
17,Lemon Verbena,https://fimgs.net/mdimg/sastojci/m.120.jpg?1440740413,CITRUS SMELLS,
18,Lemon Zest,https://fimgs.net/mdimg/sastojci/m.788.jpg?1588375969,CITRUS SMELLS,
19,Lemongrass,https://fimgs.net/mdimg/sastojci/m.358.jpg?1440731649,CITRUS SMELLS,
20,Lime,https://fimgs.net/mdimg/sastojci/m.78.jpg?1440731198,CITRUS SMELLS,
21,Limetta,https://fimgs.net/mdimg/sastojci/m.901.jpg?1598641517,CITRUS SMELLS,
22,Litsea Cubeba,https://fimgs.net/mdimg/sastojci/m.529.jpg?1588391042,CITRUS SMELLS,
23,Mandarin Orange,https://fimgs.net/mdimg/sastojci/m.82.jpg?1585607773,CITRUS SMELLS,
24,Mandora,https://fimgs.net/mdimg/sastojci/m.1044.jpg?1585703458,CITRUS SMELLS,
25,Methyl Pamplemousse,https://fimgs.net/mdimg/sastojci/m.467.jpg?1440740017,CITRUS SMELLS,
26,Neroli,https://fimgs.net/mdimg/sastojci/m.17.jpg?1440739322,CITRUS SMELLS,
27,Orange,https://fimgs.net/mdimg/sastojci/m.80.jpg?1440736796,CITRUS SMELLS,
28,Petitgrain,https://fimgs.net/mdimg/sastojci/m.3.jpg?1440739582,CITRUS SMELLS,
29,Pomelo,https://fimgs.net/mdimg/sastojci/m.242.jpg?1440738219,CITRUS SMELLS,
30,Tangelo,https://fimgs.net/mdimg/sastojci/m.935.jpg?1546878015,CITRUS SMELLS,
31,Tangerine,https://fimgs.net/mdimg/sastojci/m.85.jpg?1440738368,CITRUS SMELLS,
32,Yuzu,https://fimgs.net/mdimg/sastojci/m.83.jpg?1440738532,CITRUS SMELLS,
33,Acai berry,https://fimgs.net/mdimg/sastojci/m.596.jpg?1466291951,"FRUITS, VEGETABLES AND NUTS",
34,Acerola,https://fimgs.net/mdimg/sastojci/m.673.jpg?1598657680,"FRUITS, VEGETABLES AND NUTS",
35,Almond,https://fimgs.net/mdimg/sastojci/m.130.jpg?1440794517,"FRUITS, VEGETABLES AND NUTS",
36,Apple,https://fimgs.net/mdimg/sastojci/m.146.jpg?1440958253,"FRUITS, VEGETABLES AND NUTS",
37,Apple juice,https://fimgs.net/mdimg/sastojci/m.929.jpg?1545561411,"FRUITS, VEGETABLES AND NUTS",
38,Apple pulp,https://fimgs.net/mdimg/sastojci/m.930.jpg?1545561469,"FRUITS, VEGETABLES AND NUTS",
39,Apple sherbet,https://fimgs.net/mdimg/sastojci/m.823.jpg?1508499391,"FRUITS, VEGETABLES AND NUTS",
40,Apricot,https://fimgs.net/mdimg/sastojci/m.175.jpg?1440900087,"FRUITS, VEGETABLES AND NUTS",
41,Arctic Bramble,https://fimgs.net/mdimg/sastojci/m.1027.jpg?1575092782,"FRUITS, VEGETABLES AND NUTS",
42,Argan,https://fimgs.net/mdimg/sastojci/m.956.jpg?1551085412,"FRUITS, VEGETABLES AND NUTS",
43,Banana,https://fimgs.net/mdimg/sastojci/m.123.jpg?1440794826,"FRUITS, VEGETABLES AND NUTS",
44,Barberry,https://fimgs.net/mdimg/sastojci/m.329.jpg?1500286122,"FRUITS, VEGETABLES AND NUTS",
45,Bearberry,https://fimgs.net/mdimg/sastojci/m.344.jpg?1440904824,"FRUITS, VEGETABLES AND NUTS",
46,Beetroot,https://fimgs.net/mdimg/sastojci/m.817.jpg?1503472136,"FRUITS, VEGETABLES AND NUTS",
47,Bigarade,https://fimgs.net/mdimg/sastojci/m.1083.jpg?1613090511,"FRUITS, VEGETABLES AND NUTS",
48,Black Currant,https://fimgs.net/mdimg/sastojci/m.132.jpg?1440797472,"FRUITS, VEGETABLES AND NUTS",
49,Blackberry,https://fimgs.net/mdimg/sastojci/m.169.jpg?1440902393,"FRUITS, VEGETABLES AND NUTS",
50,Blackthorn,https://fimgs.net/mdimg/sastojci/m.634.jpg?1400081408,"FRUITS, VEGETABLES AND NUTS",
51,Blueberry,https://fimgs.net/mdimg/sastojci/m.225.jpg?1440796041,"FRUITS, VEGETABLES AND NUTS",
52,Boysenberry,https://fimgs.net/mdimg/sastojci/m.577.jpg?1363464638,"FRUITS, VEGETABLES AND NUTS",
53,Brazil nut,https://fimgs.net/mdimg/sastojci/m.533.jpg?1440796303,"FRUITS, VEGETABLES AND NUTS",
54,Carambola (Star Fruit),https://fimgs.net/mdimg/sastojci/m.212.jpg?1440796932,"FRUITS, VEGETABLES AND NUTS",
55,Carrot,https://fimgs.net/mdimg/sastojci/m.275.jpg?1585879456,"FRUITS, VEGETABLES AND NUTS",
56,Cashew,https://fimgs.net/mdimg/sastojci/m.1009.jpg?1612406972,"FRUITS, VEGETABLES AND NUTS",
57,Cassowary fruit,https://fimgs.net/mdimg/sastojci/m.444.jpg?1440797353,"FRUITS, VEGETABLES AND NUTS",
58,Cepes,https://fimgs.net/mdimg/sastojci/m.376.jpg?1442949887,"FRUITS, VEGETABLES AND NUTS",
59,Chayote,https://fimgs.net/mdimg/sastojci/m.774.jpg?1453408938,"FRUITS, VEGETABLES AND NUTS",
60,Cherimoya,https://fimgs.net/mdimg/sastojci/m.880.jpg?1598726211,"FRUITS, VEGETABLES AND NUTS",
61,Cherry,https://fimgs.net/mdimg/sastojci/m.297.jpg?1440955691,"FRUITS, VEGETABLES AND NUTS",
62,Chestnut,https://fimgs.net/mdimg/sastojci/m.578.jpg?1587005449,"FRUITS, VEGETABLES AND NUTS",
63,Cloudberry,https://fimgs.net/mdimg/sastojci/m.692.jpg?1435690344,"FRUITS, VEGETABLES AND NUTS",
64,Coconut,https://fimgs.net/mdimg/sastojci/m.138.jpg?1440901443,"FRUITS, VEGETABLES AND NUTS",
65,Corn Silk,https://fimgs.net/mdimg/sastojci/m.548.jpg?1441312968,"FRUITS, VEGETABLES AND NUTS",
66,Cranberry,https://fimgs.net/mdimg/sastojci/m.274.jpg?1440901189,"FRUITS, VEGETABLES AND NUTS",
67,Cucumber,https://fimgs.net/mdimg/sastojci/m.126.jpg?1441312274,"FRUITS, VEGETABLES AND NUTS",
68,"Cupuacu, Cupuassu, Copoasu",https://fimgs.net/mdimg/sastojci/m.465.jpg?1440892279,"FRUITS, VEGETABLES AND NUTS",
69,Currant leaf and bud,https://fimgs.net/mdimg/sastojci/m.337.jpg?1440793849,"FRUITS, VEGETABLES AND NUTS",
70,Cyperus scariosus,https://fimgs.net/mdimg/sastojci/m.460.jpg?1440896025,"FRUITS, VEGETABLES AND NUTS",
71,Dewberry,https://fimgs.net/mdimg/sastojci/m.644.jpg?1440896414,"FRUITS, VEGETABLES AND NUTS",
72,Dried Apple Crisp,https://fimgs.net/mdimg/sastojci/m.908.jpg?1539123669,"FRUITS, VEGETABLES AND NUTS",
73,Dried Apricot,https://fimgs.net/mdimg/sastojci/m.961.jpg?1598893573,"FRUITS, VEGETABLES AND NUTS",
74,Dried Fruits,https://fimgs.net/mdimg/sastojci/m.230.jpg?1598561412,"FRUITS, VEGETABLES AND NUTS",
75,Fig,https://fimgs.net/mdimg/sastojci/m.247.jpg?1440953103,"FRUITS, VEGETABLES AND NUTS",
76,Fig Leaf,https://fimgs.net/mdimg/sastojci/m.150.jpg?1441316266,"FRUITS, VEGETABLES AND NUTS",
77,Forest fruits,https://fimgs.net/mdimg/sastojci/m.382.jpg?1598560938,"FRUITS, VEGETABLES AND NUTS",
