name,company,image,for_gender,rating,number_votes,main accords,description,top notes,middle notes,base notes,longevity,sillage,gender_vote,price value
Angels' Share,By Kilian,https://fimgs.net/mdimg/perfume/375x500.62615.jpg,for women and men,4.31,682,"{'woody': 100.0, 'sweet': 92.6987, 'warm spicy': 89.4303, 'vanilla': 78.3058, 'cinnamon': 67.3313, 'amber': 52.084, 'powdery': 46.3568, 'lactonic': 44.7526, 'aromatic': 44.5877}","Angels' Share by By Kilian is a Oriental Vanilla fragrance for women and men. This is a new fragrance. Angels' Share was launched in 2020. The nose behind this fragrance is Benoist Lapouza. Top note is Cognac; middle notes are Cinnamon, Tonka Bean and Oak; base notes are Praline, Vanilla and Sandalwood.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Cognac'],"['Cinnamon', 'Tonka Bean', 'Oak']","['Praline', 'Vanilla', 'Sandalwood']","{'very weak': 21, 'weak': 17, 'moderate': 107, 'long lasting': 184, 'eternal': 78}","{'intimate': 40, 'moderate': 187, 'strong': 157, 'enormous': 79}","{'female': 40, 'more female': 39, 'unisex': 226, 'more male': 51, 'male': 20}","{'way overpriced': 64, 'overpriced': 143, 'ok': 98, 'good value': 27, 'great value': 11}"
My Way,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.62036.jpg,for women,3.5700000000000003,1471,"{'white floral': 100.0, 'citrus': 60.4322, 'tuberose': 59.0888, 'animalic': 46.7757}","My Way by Giorgio Armani is a Floral fragrance for women. This is a new fragrance. My Way was launched in 2020. My Way was created by Carlos Benaim and Bruno Jovanovic. Top notes are Orange Blossom and Bergamot; middle notes are Tuberose and Indian Jasmine; base notes are White Musk, Madagascar Vanilla and Virginian Cedar.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Orange Blossom', 'Bergamot']","['Tuberose', 'Indian Jasmine']","['White Musk', 'Madagascar Vanilla', 'Virginian Cedar']","{'very weak': 49, 'weak': 84, 'moderate': 200, 'long lasting': 216, 'eternal': 89}","{'intimate': 127, 'moderate': 322, 'strong': 251, 'enormous': 221}","{'female': 349, 'more female': 21, 'unisex': 4, 'more male': 0, 'male': 0}","{'way overpriced': 38, 'overpriced': 121, 'ok': 125, 'good value': 26, 'great value': 8}"
Libre Intense,Yves Saint Laurent,https://fimgs.net/mdimg/perfume/375x500.62318.jpg,for women,4.02,858,"{'vanilla': 100.0, 'aromatic': 71.4216, 'sweet': 69.9134, 'white floral': 69.338, 'lavender': 69.1826, 'amber': 68.4051, 'citrus': 67.861, 'powdery': 48.7517, 'floral': 48.5651, 'fresh spicy': 47.8188}","Libre Intense by Yves Saint Laurent is a Oriental Fougere fragrance for women. This is a new fragrance. Libre Intense was launched in 2020. Libre Intense was created by Anne Flipo and Carlos Benaim. Top notes are Lavender, Mandarin Orange and Bergamot; middle notes are Lavender, Tunisian Orange Blossom, Jasmine Sambac and Orchid; base notes are Madagascar Vanilla, Tonka Bean, Ambergris and Vetiver. Yves Saint Laurent presents a new version of Libre fragrance from 2019, ie. an intense version of this modern feminine fougere. Libre Eau de Parfum Intense is a perfume of ""an intense woman living her roaring freedom and following her instincts,” coming out in August 2020. Libre Intense illuminates a new fragrant shade, described as that between fire and gold. Her ""masculine signature"" was done in a ""feminine way"". ""A fragrance like a shout of freedom – the freedom to live everything with excess."" Top notes: mandarin essence, French lavender essence, bergamot essence 
Heart: Diva lavender heart, sambac jasmine absolute, orange blossom absolute from Morocco, living orchid accord
Base: vanilla extract from Madagascar, vetiver essence, ambergris, tonka absolute from Venezuela The Libre bottle is made like a geometric silhouette in a tuxedo, with a large house monogram. The face of the perfume is singer Dua Lipa. The fragrance is available as a 30, 50 and 90 ml Eau de Parfum Intense. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Lavender', 'Mandarin Orange', 'Bergamot']","['Lavender', 'Tunisian Orange Blossom', 'Jasmine Sambac', 'Orchid']","['Madagascar Vanilla', 'Tonka Bean', 'Ambergris', 'Vetiver']","{'very weak': 24, 'weak': 12, 'moderate': 103, 'long lasting': 212, 'eternal': 84}","{'intimate': 39, 'moderate': 155, 'strong': 237, 'enormous': 131}","{'female': 162, 'more female': 91, 'unisex': 70, 'more male': 8, 'male': 2}","{'way overpriced': 11, 'overpriced': 59, 'ok': 136, 'good value': 35, 'great value': 6}"
Dior Homme 2020,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.58714.jpg,for men,3.42,1402,"{'woody': 100.0, 'musky': 72.7229, 'amber': 53.4101, 'aromatic': 51.5617}","Dior Homme 2020 by Christian Dior is a Woody fragrance for men. This is a new fragrance. Dior Homme 2020 was launched in 2020. The nose behind this fragrance is Francois Demachy. Top notes are Bergamot, Pink Pepper and elemi; middle notes are Cashmere Wood, Atlas Cedar and Patchouli; base notes are Iso E Super, Haitian Vetiver and White Musk. Dior Homme, a powdery iris and woody scent for men, was introduced in the original version in 2005 and then later came the new 2011 version. The 2020 version of Dior Homme Eau de Toilette is announced with the slogan ""I'm Your Man."" The 2011 edition remains on the shelves under the name, Dior Homme Original. The new Dior Homme is created by Dior in-house perfumer Francois Demachy who wanted to redefine masculine sensuality. The fragrance is intensely woody, warm, and sensual. A virile accord of Atlas cedar and the warmth of cashmere wood are pampered with spicy aromas.  ""This new Dior Homme has an unmistakably virile signature that does not prevent it from developing tender, sensual accents. It basically draws the portrait of a modern man."" François Demachy, Dior Perfumer-Creator According to the perfumer, this is a fragrance overdosed with carnal woody notes, and it represents a return to the basics: classic and simplicity. It is clear, clean, gentle, and woody but also slightly sweet, and wears like a second skin. The new bottle follows the architectural design of its predecessors, with a more prominent logo and perfume name on the plug. The face of the advertising campaign remains actor Robert Pattinson. Dior Homme is available as a 50 and 100 ml Eau de Toilette with the accompanying grooming line, now available in new packaging. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Bergamot', 'Pink Pepper', 'elemi']","['Cashmere Wood', 'Atlas Cedar', 'Patchouli']","['Iso E Super', 'Haitian Vetiver', 'White Musk']","{'very weak': 125, 'weak': 83, 'moderate': 174, 'long lasting': 288, 'eternal': 77}","{'intimate': 214, 'moderate': 370, 'strong': 189, 'enormous': 151}","{'female': 3, 'more female': 1, 'unisex': 17, 'more male': 56, 'male': 199}","{'way overpriced': 31, 'overpriced': 59, 'ok': 134, 'good value': 33, 'great value': 3}"
Acqua di Giò Profondo,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.59532.jpg,for men,4.03,869,"{'aromatic': 100.0, 'marine': 93.2493, 'citrus': 79.7199, 'fresh spicy': 68.3193, 'woody': 67.7451, 'fresh': 62.493, 'mineral': 58.0112, 'musky': 45.126, 'salty': 44.902, 'patchouli': 44.4258}","Acqua di Giò Profondo by Giorgio Armani is a Aromatic Fougere fragrance for men. This is a new fragrance. Acqua di Giò Profondo was launched in 2020. The nose behind this fragrance is Alberto Morillas. Top notes are Sea Notes, Aquozone, Bergamot and Green Mandarin; middle notes are Rosemary, Cypress, Lavender and Mastic or Lentisque; base notes are Mineral notes, Musk, Patchouli and Amber.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Sea Notes', 'Aquozone', 'Bergamot', 'Green Mandarin']","['Rosemary', 'Cypress', 'Lavender', 'Mastic or Lentisque']","['Mineral notes', 'Musk', 'Patchouli', 'Amber']","{'very weak': 59, 'weak': 66, 'moderate': 188, 'long lasting': 221, 'eternal': 35}","{'intimate': 115, 'moderate': 333, 'strong': 183, 'enormous': 106}","{'female': 3, 'more female': 0, 'unisex': 5, 'more male': 71, 'male': 151}","{'way overpriced': 32, 'overpriced': 84, 'ok': 80, 'good value': 21, 'great value': 4}"
Le Male Le Parfum,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.61856.jpg,for men,4.26,690,"{'warm spicy': 100.0, 'vanilla': 72.2173, 'aromatic': 60.6231, 'lavender': 58.2483, 'amber': 58.2173, 'powdery': 56.8204, 'iris': 53.592, 'woody': 53.3437}","Le Male Le Parfum by Jean Paul Gaultier is a Oriental fragrance for men. This is a new fragrance. Le Male Le Parfum was launched in 2020. Le Male Le Parfum was created by Quentin Bisch and Nathalie Gracia-Cetto. Top note is Cardamom; middle notes are Lavender and iris; base notes are Vanilla, Oriental notes and Woodsy Notes.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Cardamom'],"['Lavender', 'iris']","['Vanilla', 'Oriental notes', 'Woodsy Notes']","{'very weak': 18, 'weak': 31, 'moderate': 129, 'long lasting': 252, 'eternal': 77}","{'intimate': 80, 'moderate': 262, 'strong': 175, 'enormous': 115}","{'female': 3, 'more female': 2, 'unisex': 39, 'more male': 132, 'male': 154}","{'way overpriced': 13, 'overpriced': 46, 'ok': 154, 'good value': 70, 'great value': 7}"
Beau De Jour Eau de Parfum,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.59064.jpg,for men,4.25,729,"{'aromatic': 100.0, 'fresh spicy': 94.7562, 'lavender': 68.1606, 'woody': 62.7869, 'patchouli': 56.0894, 'green': 56.0375, 'earthy': 54.0645, 'mossy': 49.4697, 'amber': 49.0803, 'herbal': 48.1717}","Beau De Jour Eau de Parfum by Tom Ford is a Aromatic Fougere fragrance for men. This is a new fragrance. Beau De Jour Eau de Parfum was launched in 2020. Top notes are Lavender Extract and Lavender; middle notes are Rosemary, Oakmoss, Mint, Basil and Geranium; base notes are Patchouli and Amber.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Lavender Extract', 'Lavender']","['Rosemary', 'Oakmoss', 'Mint', 'Basil', 'Geranium']","['Patchouli', 'Amber']","{'very weak': 30, 'weak': 19, 'moderate': 88, 'long lasting': 203, 'eternal': 59}","{'intimate': 45, 'moderate': 190, 'strong': 194, 'enormous': 112}","{'female': 1, 'more female': 0, 'unisex': 15, 'more male': 25, 'male': 145}","{'way overpriced': 14, 'overpriced': 52, 'ok': 83, 'good value': 20, 'great value': 4}"
Angel Nova,Mugler,https://fimgs.net/mdimg/perfume/375x500.61519.jpg,for women,3.54,814,"{'fruity': 100.0, 'rose': 65.8115, 'sweet': 61.6736, 'oud': 57.181, 'woody': 54.1609, 'tropical': 51.216, 'warm spicy': 49.3889, 'amber': 44.6169, 'fresh': 44.144}","Angel Nova by Mugler is a Oriental Floral fragrance for women. This is a new fragrance. Angel Nova was launched in 2020. Angel Nova was created by Sonia Constant, Louise Turner and Quentin Bisch. Top notes are Raspberry and Litchi; middle note is Damask Rose; base notes are Akigalawood and Benzoin. Mugler introduces the new heroine of the Angel line in June 2020, called Angel Nova. Angel Nova is announced as an assertive, irresistible and daring fragrance for the modern heroine and the Mugler universe that combines dream, fantasy and reality. The slogan of the perfume calls for you to ""live up to your dreams."" The woody-fruity-floral composition is born from a fusion of ""addictive"" raspberry fruity note, sensual accord of ""super-natural"" Damask rose and woody structure of akigalawood and benzoin, for Mugler’s distinctive perfume signature. The face of the perfume is German model Toni Garrn. The bottle remains star-shaped (which is now ""standing"") in a bright, raspberry pink color. Mugler Angel Nova is available as a 30 and 50 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Raspberry', 'Litchi']",['Damask Rose'],"['Akigalawood', 'Benzoin']","{'very weak': 29, 'weak': 36, 'moderate': 112, 'long lasting': 153, 'eternal': 74}","{'intimate': 55, 'moderate': 167, 'strong': 203, 'enormous': 168}","{'female': 184, 'more female': 26, 'unisex': 9, 'more male': 4, 'male': 1}","{'way overpriced': 10, 'overpriced': 41, 'ok': 107, 'good value': 20, 'great value': 14}"
L'Interdit Eau de Parfum Intense,Givenchy,https://fimgs.net/mdimg/perfume/375x500.62491.jpg,for women,4.08,596,"{'white floral': 100.0, 'vanilla': 83.8462, 'tuberose': 77.9933, 'patchouli': 60.6689, 'woody': 60.2007, 'aromatic': 57.0636, 'warm spicy': 54.9799, 'fresh spicy': 54.1137, 'earthy': 52.3813, 'animalic': 50.7191}","L'Interdit Eau de Parfum Intense by Givenchy is a Oriental Floral fragrance for women. This is a new fragrance. L'Interdit Eau de Parfum Intense was launched in 2020. L'Interdit Eau de Parfum Intense was created by Dominique Ropion, Anne Flipo and Fanny Bal. Top note is Black Pepper; middle notes are Tuberose, Sesame and Orange Blossom; base notes are Madagascar Vanilla, Patchouli and Vetiver.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Black Pepper'],"['Tuberose', 'Sesame', 'Orange Blossom']","['Madagascar Vanilla', 'Patchouli', 'Vetiver']","{'very weak': 14, 'weak': 19, 'moderate': 65, 'long lasting': 134, 'eternal': 49}","{'intimate': 36, 'moderate': 132, 'strong': 119, 'enormous': 122}","{'female': 122, 'more female': 24, 'unisex': 21, 'more male': 2, 'male': 1}","{'way overpriced': 10, 'overpriced': 26, 'ok': 77, 'good value': 21, 'great value': 6}"
L'Homme Idéal Extrême,Guerlain,https://fimgs.net/mdimg/perfume/375x500.60284.jpg,for men,4.38,434,"{'fruity': 100.0, 'sweet': 92.2085, 'almond': 90.6687, 'tobacco': 69.4193, 'leather': 66.6476, 'nutty': 60.4884, 'warm spicy': 60.1804, 'cinnamon': 57.7167, 'woody': 52.3889, 'powdery': 49.1861}","L'Homme Idéal Extrême by Guerlain is a Oriental Woody fragrance for men. This is a new fragrance. L'Homme Idéal Extrême was launched in 2020. The nose behind this fragrance is Thierry Wasser. Top notes are Almond, Pink Pepper and Bergamot; middle notes are Plum, Cinnamon and Heliotrope; base notes are Tobacco, Leather, Patchouli and Cedar.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Almond', 'Pink Pepper', 'Bergamot']","['Plum', 'Cinnamon', 'Heliotrope']","['Tobacco', 'Leather', 'Patchouli', 'Cedar']","{'very weak': 19, 'weak': 33, 'moderate': 87, 'long lasting': 127, 'eternal': 45}","{'intimate': 42, 'moderate': 174, 'strong': 122, 'enormous': 87}","{'female': 6, 'more female': 1, 'unisex': 16, 'more male': 77, 'male': 85}","{'way overpriced': 5, 'overpriced': 25, 'ok': 76, 'good value': 57, 'great value': 6}"
